代幣名稱 (Coin),分析大戶數,獨立資金源數,資金聚集度 (%),CEX (交易所) 資金數,私人錢包 資金數,最大單一私人莊家控制數,最大莊家地址,解析失敗/未知數
YZY,50,33,30.0,0,50,15,FTNTD1rkpBZxkBqVfG17VduezXfgtQ6R6VR8sr2CSgNR,0
M3M3,50,38,24.0,1,49,12,FnRN3uXPbsjYHKnERSR1epYkkSu3nMuJgJyGWo2SvFVV,0
HAWK,50,34,22.0,0,50,11,5qR7QeiCDNxmRPK8EXRURdc8KHXmn7NCjKuCFHhBRoDm,0
FARTCOIN,50,36,18.0,1,49,9,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,0
CONDOM,32,29,12.5,0,32,4,9RAufBfjGQjDfrwxeyKmZWPADHSb8HcoqCdrmpqvCr1g,0
MOODENG,50,42,8.0,4,46,4,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,0
QUANT,50,43,8.0,2,48,4,7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,0
BOME,50,37,6.0,15,35,3,E4X8Fihh8RHwwtCPN4XFUFc1F7iygBX3evfLjQnMFak9,0
WIF,50,42,6.0,7,43,3,9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,0
LIBRA,50,47,4.0,0,50,2,Hstimk3SzCpYQeiLDjjdHnHEsNqfuaKXigaAhN3X2WVQ,0
MEW,50,36,4.0,17,33,2,5ukmhcXCpPwSi8icQQEqSp4kNwa5BS8329jKHhMDJAw7,0
TRUMP,50,41,4.0,10,40,2,2qo8jvuc49pFmTjmUHLiARSV6ppPTaE7gw27ZJ6DnNZy,0
PNUT,50,35,4.0,18,32,2,DwdrYTtTWHfnfJBiN2RH6EgPbquDQLjZTfTwpykPEq1g,0
PONKE,50,43,4.0,6,44,2,5z7gxL5u4jCW9D6acu28LEw4RKTiBSG1EmXbtCX7efg2,0
MELANIA,50,49,4.0,1,49,2,APhyMCpYjQ9RdEBn8cs4ifyBXjxAS5JtM3wYpWMJjsY5,0
POPCAT,50,45,4.0,4,46,2,9ZifroknFoYu4r6DUk6nYoJiUQnEyyoUyeAwjXbPoL2x,0
GOAT,50,42,4.0,4,46,2,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,0
SHAR,50,50,2.0,0,50,1,FxuCNnT2k6tChj8FTpTsQfki3bHDNUc4aYeAzhvhezgv,0
BONK,50,40,2.0,15,35,1,9bxWkNf3BtJ6iehq9KbX9uCWMjem4TFiPZ19T2sYJHvQ,0
CATFI,50,50,2.0,0,50,1,7VnVRypd6p5yqXrcDm3VQAxQhyXEijvxp2dyCS6vVYNc,0
