代幣名稱 (Coin),分析大戶數,獨立資金源數,資金聚集度 (%),CEX (交易所) 資金數,私人錢包 資金數,最大單一私人莊家控制數,最大莊家地址,解析失敗/未知數
YZY,50,33,34.0,0,50,15,FTNTD1rkpBZxkBqVfG17VduezXfgtQ6R6VR8sr2CSgNR,0
HAWK,50,34,32.0,0,50,11,5qR7QeiCDNxmRPK8EXRURdc8KHXmn7NCjKuCFHhBRoDm,0
MEW,50,36,28.0,12,38,3,AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,0
PNUT,50,36,28.0,16,34,2,DwdrYTtTWHfnfJBiN2RH6EgPbquDQLjZTfTwpykPEq1g,0
FARTCOIN,50,37,26.0,1,49,9,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,0
BOME,50,37,26.0,10,40,5,AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,0
M3M3,50,38,24.0,1,49,12,FnRN3uXPbsjYHKnERSR1epYkkSu3nMuJgJyGWo2SvFVV,0
BONK,50,40,20.0,12,38,2,4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,0
WIF,50,41,18.0,6,44,3,9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,0
GOAT,50,42,16.0,4,46,2,j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,0
MOODENG,50,42,16.0,2,48,4,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,0
QUANT,50,43,14.0,2,48,4,7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,0
TRUMP,50,43,14.0,7,43,2,4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,0
PONKE,50,43,14.0,4,46,2,5z7gxL5u4jCW9D6acu28LEw4RKTiBSG1EmXbtCX7efg2,0
POPCAT,50,45,10.0,2,48,2,4xLpwxgYuPwPvtQjE94RLS4WZ4aD8NJYYKr2AJk99Qdg,0
CONDOM,32,29,9.38,0,32,4,9RAufBfjGQjDfrwxeyKmZWPADHSb8HcoqCdrmpqvCr1g,0
LIBRA,50,47,6.0,0,50,2,Hstimk3SzCpYQeiLDjjdHnHEsNqfuaKXigaAhN3X2WVQ,0
MELANIA,50,49,2.0,1,49,2,APhyMCpYjQ9RdEBn8cs4ifyBXjxAS5JtM3wYpWMJjsY5,0
SHAR,50,50,0,0,50,1,FxuCNnT2k6tChj8FTpTsQfki3bHDNUc4aYeAzhvhezgv,0
CATFI,50,50,0,0,50,1,7VnVRypd6p5yqXrcDm3VQAxQhyXEijvxp2dyCS6vVYNc,0
