🪙 小專案 Master Data Sheet — Meme Coin 研究資料總表,,,,,,,,,,,,
token_address,token_name,token_symbol,label,top50_concentration,clustering_coefficient,early_buyers_ratio,cex_wallet_count,kol_handle,kol_tweet_time_utc,kol_tweet_url,price_drop_pct,liquidity_removal_pct
"合約地址
(Solana)
填：D","代幣名稱
填：D","符號
填：D","類型
(1=操盤/0=正常)
填：D","前50大戶
佔比 (A2)
填：A2","錢包關聯度
(A2)
填：A2","早鳥佔比
(A2)
填：A2","CEX地址數
(A2)
填：A2","KOL帳號
(B1)
填：B1","推文時間UTC
(B1)
填：B1","推文連結
(B1)
填：B1","最大跌幅%
(C2)
填：C2","流動性撤除%
(C1)
填：C1"
用Solscan搜HAWK,Hawk Tuah,HAWK,1,0.943588,0.171815,0.06,0,"@CryptoTalkMan","08:10 · Jun 22, 2024",https://x.com/CryptoTalkMan/status/1804426835142287743?s=20,,
HAWKThXRcNL9ZGZKqgUXLm4W8tnRZ7U6MVdEepSutj34,,,,,,,,"@stekisteks
","01:18 · Jun 22, 2024
",https://x.com/stekisteks/status/1804292736855814407?s=20,,
,,,,,,,,"@stekisteks
","00:25 · Jun 22, 2024",https://x.com/stekisteks/status/1804309694842015774?s=20,,
,,,,,,,,"@beeple
","03:55 · Jun 22, 2024
",https://x.com/beeple/status/1804362550990995741?s=20,,
,,,,,,,,"@poe_real69
","04:05 · Jun 22, 2024
",https://x.com/poe_real69/status/1804364959813337512?s=20,,
,,,,,,,,"@MarioNawfal
","01:20 · Dec 5, 2024
",https://x.com/MarioNawfal/status/1864449779737985421?s=20,,
,,,,,,,,"@elonmusk
","18:07 · Jun 27, 2024
",https://x.com/elonmusk/status/1806011322238206432?s=20,,
,,,,,,,,"@MarioNawfal
","23:21 · Jul 27, 2024
",https://x.com/MarioNawfal/status/1816977046532248045?s=20,,
,,,,,,,,@CryptoQueenCoin,"21:51 · Jun 30, 2024
",https://x.com/CryptoQueenCoin/status/1807713751799562501?s=20,,
用Solscan搜LIBRA,LIBRA,LIBRA,1,,0.040036,0.04,0,@stoolpresidente,"01:04 · Feb 18, 2025",https://x.com/stoolpresidente/status/1891654901152751911?s=20,,
,,,,,,,,@stoolpresidente,"04:42 · Feb 18, 2025
",https://x.com/stoolpresidente/status/1891528769770279114?s=20,,
,,,,,,,,@GordonGekko,"21:45 · Feb 16, 2025",https://x.com/GordonGekko/status/1891423695916126381?s=20,,
,,,,,,,,@stoolpresidente,"19:35 · Feb 17, 2025
",https://x.com/stoolpresidente/status/1891542069690212669?s=20,,
,,,,,,,,@ethmaxi,"19:36 · Feb 17, 2025",https://x.com/ethmaxi/status/1891542173130060157?s=20,,
,,,,,,,,@cryptolyxe,"04:45 · Feb 18, 2025
",https://x.com/cryptolyxe/status/1891529374706413695?s=20,,
用Solscan搜SHAR,Sharpei,SHAR,1,,0.040019,0.1,0,@rutradebtc,15:11 · 2024年10月23日,https://x.com/rutradebtc/status/1849106496950284602?s=20,,
,,,,,,,,@btc_789,"15:04 · 2024年10月23日
",https://x.com/btc_789/status/1849104554094387205?s=20,,
,,,,,,,,@btc_789,14:29 · 2024年10月23日,https://x.com/btc_789/status/1849095756134981660?s=20,,
,,,,,,,,@Guomin184935,15:57 · 2024年10月23日,https://x.com/Guomin184935/status/1849117938386927841?s=20,,
